TableName,Schema Backup,Data Backup,Custom Backup,Remarks
T_BANKING_BALANCE,y,y,n,
T_BANKING_BALANCE_03_06_19,n,n,n,
T_BANKING_BALANCE_290519,n,n,n,
T_BANKING_BALANCE_31032020,n,n,n,
T_BANKING_BALANCE_BACKUP31OCT2019,n,n,n,
T_BANKING_BALANCE_BFDOWNLOADMARCH2019,n,n,n,
T_BANKING_BALANCE_BKB4FIX_280619,n,n,n,
T_BANKING_BALANCE_HISTORY,y,y,n,
T_BANKING_BALANCE_ONE,n,n,n,
T_BANK_SOLAR310320,n,n,n,
T_BANK_THIRDPARTY310320,n,n,n,
T_BNK_WTSRPLS_27032020,n,n,n,
T_COMPANY_METER_CHANGE,y,n,n,
T_COMPANY_NAME_CHANGE,y,n,n,
T_CONSENT,y,n,,
T_CS,y,n,,
T_CS_ID_TABLEA,y,n,,
T_CS_ID_TABLEB,y,n,,
T_CS_LOAN,y,n,,
T_CS_QUANTUM_ALLOCATION,y,n,,
T_ENERGY_SALE,y,n,,
T_ENERGY_SALE_040619,n,n,,
T_ENERGY_SALE_BKB4FIX_280619,n,n,,
T_EPA,y,y,,
T_EPA_LINES,y,y,,
T_ES_CHARGE,y,n,,
T_ES_CHARGE_BKB4FIX_280619,n,n,,
T_ES_INTENT,y,n,,
T_ES_INTENT_LINE,y,n,,
T_ES_MULTIADD_HEADER,y,n,,
T_ES_MULTIADD_HEADER_BKB4FIX_280619,n,n,,
T_ES_MULTIADD_LINE,y,n,,
T_ES_MULTIADD_LINE_BKB4FIX_280619,n,n,,
T_ES_USAGE_DETAIL,y,n,,
T_ES_USAGE_SUMMARY,y,n,,
T_ES_USAGE_SUMMARY_BKB4FIX_280619,y,n,,
T_EWA,y,y,,
T_EWA_LINE,y,y,,
T_GC_APPLICATION_STATUS,y,n,,
T_GC_CHECKLIST,y,n,,
T_GC_GEN_UNIT,y,n,,
T_GC_ID_TABLEA,y,n,,
T_GC_ID_TABLEB,y,n,,
T_GC_LOAN,y,n,,
T_GC_QUANTUM_ALLOCATION,y,n,,
T_GC_TRANSFORMERS,y,n,,
T_GEN_OTHER_CHARGES,y,n,y,
T_GEN_OTHER_SUB_CHARGES,y,n,y,
T_GEN_STMT,y,n,y,
T_GEN_STMT_BKB4FIX_280619,n,n,n,
T_GEN_STMT_CHARGE,y,n,y,
T_GEN_STMT_CHARGE_BKB4FIX_280619,n,n,n,
T_GEN_STMT_SLOT,y,n,y,
T_GEN_STMT_SLOT_040619,n,n,n,
T_GEN_STMT_SLOT_BKB4FIX_280619,n,n,n,
T_GRID_CONNECTIVITY,y,n,n,
T_GRID_CONN_APPLN,y,n,n,
T_IEX_NOC,y,y,n,
T_INPRINCIPLE_APPLN,y,y,n,
T_INPRINCIPLE_APPLN_LINE,y,y,n,
T_IPA_STANDING_CLEARACE,y,y,n,
T_JOB_HDR,y,n,n,
T_METER_READING_HDR,y,n,y,
T_METER_READING_SLOT,y,n,y,
T_NEW_SERVICE_EXCESS_BANKING,y,y,n,
T_NOC,y,y,n,
T_NOC_GENERATOR,y,y,n,
T_NOC_GENERATOR_LINE,y,y,n,
T_OAA,y,y,n,
T_PAYMENT,y,y,n,
T_PPA,y,y,n,
T_PROCESS_GS,y,n,n,
T_PROCESS_LOG,y,n,n,
T_STANDING_CLEARENCE,y,y,n,
T_SUBSTATION_LOSS,y,y,n,
UDML_CML_DEL,n,n,n,
UV_TBL_03032020,n,n,n,
UV_TBL_27022020,n,n,n,
UV_TBL_HISTORY_SLOT,y,n,n,
UV_TBL_HISTORY_SLOT_03FEB19,n,n,n,
UV_TBL_HISTORY_SLOT_BKP1118,n,n,n,
UV_TBL_HISTORY_SLOT_MAR19,n,n,n,
UV_TBL_HISTORY_SLOT_MCHANGE,n,n,n,
UV_TBL_HISTORY_SLOT_READG_FEB2020,n,n,n,
